job_id,status,source_experiment_id,model,workload,gpu_count,tensor_parallel_size,request_rate,mst_rate,energy_joules,incremental_energy_joules,energy_kwh,avg_power_w,idle_avg_power_w,incremental_avg_power_w,min_power_w,p50_power_w,p90_power_w,p95_power_w,p99_power_w,max_power_w,energy_per_successful_request_j,incremental_energy_per_successful_request_j,energy_per_total_request_j,incremental_energy_per_total_request_j,energy_per_total_token_j,incremental_energy_per_total_token_j,successful_requests,started_requests,total_input_tokens,total_output_tokens,total_tokens,monitor_duration_s,repeat_count,successful_repeat_count
meta-llama-llama-3-2-3b-instruct-mmlu-pro-reasoning-shard-000-mst-r11_5,succeeded,reasoning-single-gpu-f47f1b37ff,meta-llama/Llama-3.2-3B-Instruct,mmlu-pro-reasoning-shard-000_mst_anomaly_rerun,1,1,11.5,11.5,152000.910692,124224.1961,0.0422224751922,640.891432432,117.116787803,523.77464463,121.742,687.769,695.096,696.7866,699.586,702.762,72.832252368,59.522853905,72.832252368,59.522853905,0.0662663291865,0.0541567904705,2087,2087,423816,1869972,2293788,237.171076098,1,
meta-llama-llama-3-2-3b-instruct-supergpqa-hard-reasoning-shard-0-r1_5,succeeded,reasoning-single-gpu-29cad45e14,meta-llama/Llama-3.2-3B-Instruct,supergpqa-hard-reasoning-shard-000_mst_anomaly_rerun,1,1,1.5,1.5,86337.6052954,62834.5043814,0.0239826681376,425.205116463,115.750705931,309.454410532,116.762,448.606,471.26,476.59,494.976,502.959,328.279868043,238.914465329,328.279868043,238.914465329,0.191357437183,0.139265499477,263,263,85896,365289,451185,203.049309504,1,
google-gemma-4-e4b-it-mmlu-pro-reasoning-shard-000-mst-r9_25,succeeded,reasoning-single-gpu-393d955dea,google/gemma-4-E4B-it,mmlu-pro-reasoning-shard-000_mst_anomaly_rerun,1,1,9.25,9.25,93326.0293288,67370.1207002,0.0259238970358,415.275417017,115.496725376,299.778691641,117.684,428.779,466.38,470.77,474.931,479.231,56.2204995956,40.5844100604,56.2204995956,40.5844100604,0.0776374430287,0.0560448563527,1660,1660,355994,846081,1202075,224.732853197,1,
google-gemma-4-e4b-it-supergpqa-hard-reasoning-shard-0-r15_5,succeeded,reasoning-single-gpu-7a423579f3,google/gemma-4-E4B-it,supergpqa-hard-reasoning-shard-000_mst_anomaly_rerun,1,1,15.5,15.5,132800.200718,102214.578525,0.0368889446438,530.366349531,122.150303258,408.216046273,125.999,558.551,616.773,623.3624,633.65397,641.671,47.7012215222,36.7150066542,47.7012215222,36.7150066542,0.041325295467,0.0318075397157,2784,2784,1005229,2208304,3213533,250.393338181,1,
google-gemma-4-26b-a4b-it-shard-000-r2_31,succeeded,reasoning-30b-tp2-8b418f8fc5,google/gemma-4-26B-A4B-it,shard_000,2,2,2.31,2.31514787941,269383.679938,203111.202712,0.0748287999827,1020.09794595,250.959590078,769.138355876,261.68,1080.433,1149.588,1154.156,1161.5005,1165.882,660.254117495,497.821575276,660.254117495,497.821575276,0.172347095026,0.129947091682,408,408,84115,1478915,1563030,264.076288955,1,
google-gemma-4-26b-a4b-it-shard-000-r2_32,succeeded,reasoning-30b-tp2-c34c43d030,google/gemma-4-26B-A4B-it,shard_000,2,2,2.32,2.32366513841,264460.16313,199201.529342,0.073461156425,946.531405632,233.567678542,712.96372709,237.173,1003.312,1061.4132,1068.822,1081.801,1091.989,620.798505,467.609223807,620.798505,467.609223807,0.151777506646,0.114324634326,426,426,140198,1602222,1742420,279.399248199,1,
qwen-qwen3-30b-a3b-instruct-2507-shard-000-r6_64,succeeded,reasoning-30b-tp4-19b66f42f0,Qwen/Qwen3-30B-A3B-Instruct-2507,shard_000,4,4,6.64,6.64449432702,469593.635337,349713.145325,0.130442676483,1918.28846347,489.711409357,1428.57705412,514.904,2016.377,2078.248,2088.943,2101.50802,2115.422,372.397807563,277.330012153,372.397807563,277.330012153,0.168730481861,0.125656020618,1261,1261,263268,2519831,2783099,244.798237741,1,
qwen-qwen3-30b-a3b-instruct-2507-shard-000-r3_57,succeeded,reasoning-30b-tp4-c16023d7ff,Qwen/Qwen3-30B-A3B-Instruct-2507,shard_000,4,4,3.57,3.57425230747,458150.77102,338861.414477,0.127264103061,1849.75011105,481.622021549,1368.1280895,501.736,1933.555,2035.736,2046.194,2063.5698,2076.223,659.209742475,487.570380542,659.209742475,487.570380542,0.185251914692,0.137017614764,695,695,221677,2251446,2473123,247.682521159,1,
openai-gpt-oss-120b-shard-000-r1_18,succeeded,reasoning-gpt-oss-120b-tp2-992b792e8b,openai/gpt-oss-120b,shard_000,2,2,1.18,1.18008053637,247627.419999,189490.424746,0.0687853944441,1078.58462974,253.225872561,825.358757184,252.726,1139.974,1188.103,1195.973,1207.8876,1218.599,1151.75544186,881.350812773,1151.75544186,881.350812773,0.335416705043,0.256668885481,215,215,39651,698617,738268,229.585526411,1,
openai-gpt-oss-120b-shard-000-r1_12,succeeded,reasoning-gpt-oss-120b-tp2-726085e815,openai/gpt-oss-120b,shard_000,2,2,1.12,1.12993493829,262057.930866,201980.567049,0.072793869685,1101.67115518,252.56056391,849.110591265,255.714,1174.734,1233.042,1238.644,1246.32,1250.89,1259.89389839,971.060418503,1259.89389839,971.060418503,0.358058890216,0.275973092834,208,208,68385,663500,731885,237.873098188,1,
qwen-qwen3-32b-shard-000-r1_02,succeeded,reasoning-30b-tp2-d6dd712a20,Qwen/Qwen3-32B,shard_000,2,2,1.02,1.02703960869,312779.089172,240189.172686,0.0868830803256,1076.84519792,249.914734364,826.930463558,255.342,1087.683,1163.387,1181.639,1190.528,1203.215,1503.74562102,1154.75563792,1503.74562102,1154.75563792,0.351010444799,0.269547777518,208,208,39260,851822,891082,290.458730536,1,
qwen-qwen3-32b-shard-000-r0_87,succeeded,reasoning-30b-tp2-073f2f46ae,Qwen/Qwen3-32B,shard_000,2,2,0.87,0.876910712301,276750.546063,210626.913221,0.0768751516841,985.368724505,235.432813701,749.935910804,238.43,1012.505,1043.771,1050.369,1059.4682,1068.733,1729.69091289,1316.41820763,1729.69091289,1316.41820763,0.407316742507,0.309997105328,160,160,49695,629753,679448,280.859884407,1,
meta-llama-codellama-34b-instruct-hf-shard-000-r2_3,succeeded,reasoning-30b-tp2-3ab253afa8,meta-llama/CodeLlama-34b-Instruct-hf,shard_000,2,2,2.3,2.30025049128,360427.255724,292235.23821,0.100118682146,1310.54102615,247.951383225,1062.58964292,262.766,1388.536,1398.91,1399.9848,1403.501,1409.748,917.117699044,743.601115037,917.117699044,743.601115037,0.396490440204,0.321475350159,393,393,91474,817570,909044,275.021726549,1,
meta-llama-codellama-34b-instruct-hf-shard-000-r1_28,succeeded,reasoning-30b-tp2-6e053e9fc8,meta-llama/CodeLlama-34b-Instruct-hf,shard_000,2,2,1.28,1.28512892815,315440.455795,251158.8827,0.0876223488319,1197.25378661,243.980616257,953.273170352,258.95,1239.78,1319.6026,1324.865,1333.52,1343.737,1561.58641483,1243.36080544,1561.58641483,1243.36080544,0.572393721161,0.455749301747,202,202,65740,485350,551090,263.470000532,1,
